respondent_id,question,response
5,Now we wonder why you assessed Best Western the way you did?,Spontana svar och upplevelser. 
26,Now we wonder why you assessed Best Western the way you did?,Vi har besökt hotellet flera gånger utan problem üëçüëç
29,Now we wonder why you assessed Best Western the way you did?,Har bara hört talas om hotellet
80,Now we wonder why you assessed Best Western the way you did?,Råkade trycka på fel. Skulle vara  ett ej
88,Now we wonder why you assessed Best Western the way you did?,Bor inte så ofta där. De gånger vi har bott där har vi upplevt hotellet lite naket och svalt.
92,Now we wonder why you assessed Best Western the way you did?,Upplevelse är att de har en bit kvar att göra 
148,Now we wonder why you assessed Best Western the way you did?,Har bott några nätter på hotellet 
182,Now we wonder why you assessed Best Western the way you did?,"Jag tycker det har en lite mossig prägel, men känner inte till hotellen tillräckligt mycket för att göra en särskilt kvalificerad bedömning"
184,Now we wonder why you assessed Best Western the way you did?,Har mer erfarenhet av de två övriga
185,Now we wonder why you assessed Best Western the way you did?,har liten kunskap om Best Western
186,Now we wonder why you assessed Best Western the way you did?,"Hur de jobbar med deras anställda kan jag ej ha någon direkt uppfattning om. Det jag ser visuellt i fråga om hållbar mathantering, städning osv är lättare att ha en åsikt om."
195,Now we wonder why you assessed Best Western the way you did?,Den uppfattning jag har.
210,Now we wonder why you assessed Best Western the way you did?,Har bott där några gånger
217,Now we wonder why you assessed Best Western the way you did?,-
236,Now we wonder why you assessed Best Western the way you did?,Dålig standard överlag
238,Now we wonder why you assessed Best Western the way you did?,Det känns som att det är så
252,Now we wonder why you assessed Best Western the way you did?,Tycker att de hotellen känns lite sådär
268,Now we wonder why you assessed Best Western the way you did?,I stay with them our Strawberry. Feel good about them and Strwb 
287,Now we wonder why you assessed Best Western the way you did?,Har bott där vi fåtal gånger. 
289,Now we wonder why you assessed Best Western the way you did?,Det är känslan man får av både varumärke och hur mina vistelser varit.
339,Now we wonder why you assessed Best Western the way you did?,Uppfattning jag fått vid kontakt med dem 
350,Now we wonder why you assessed Best Western the way you did?,för det är min uppfattning
377,Now we wonder why you assessed Best Western the way you did?,På grund av att min sambo har varit kvalitet chef på den kedjan och informerat mig om deras filosofi  
381,Now we wonder why you assessed Best Western the way you did?,Inget som sticker ut
395,Now we wonder why you assessed Best Western the way you did?,Utmärkt på Best Western Bromma 
414,Now we wonder why you assessed Best Western the way you did?,Känns inte som dom är som våra Nordicska hotellkjedjor. 
429,Now we wonder why you assessed Best Western the way you did?,Av erfarenhet 
446,Now we wonder why you assessed Best Western the way you did?,Enl uppfattning/erfarenhet
462,Now we wonder why you assessed Best Western the way you did?,Längesedan jag bodde där
475,Now we wonder why you assessed Best Western the way you did?,Har utnyttjat dom genom jobbet men var inte så imponerad av dom 
491,Now we wonder why you assessed Best Western the way you did?,-
495,Now we wonder why you assessed Best Western the way you did?,Jag har inte sett ett uttalat och bearbetad hållbarhets ansvarstagande 
514,Now we wonder why you assessed Best Western the way you did?,Känns som dem bryr sig bara om pengar 
537,Now we wonder why you assessed Best Western the way you did?,Vet ej 
542,Now we wonder why you assessed Best Western the way you did?,Har inte bokat dessa hotell så ofta.
551,Now we wonder why you assessed Best Western the way you did?,E
558,Now we wonder why you assessed Best Western the way you did?,"Best western har jag sovit på någon gång och varit nöjd, jag vet inte så mycket vad alla hotell mer skulle kunna göra än vad de gör, vet till exempel inte om hur transporter är därav ""ganska bra"" helnöjd i storhetüòç"
573,Now we wonder why you assessed Best Western the way you did?,.
591,Now we wonder why you assessed Best Western the way you did?,Har varit positivt dom gånger jag legat där
638,Now we wonder why you assessed Best Western the way you did?,"Hotell i Sverige gör många små men bra saker somt .ex att man kan välja attinte alltid tvätta handykar vid en vistelse som  är ett par dagar, välaja omman villha städat pä rummet och mycket mer"
648,Now we wonder why you assessed Best Western the way you did?,Vistelsen på ett Best Western hotell motsvarade inte mina förväntningar. 
7,Now we wonder why you assessed Clarion Collection the way you did?,erfarenhet från övernattningar
13,Now we wonder why you assessed Clarion Collection the way you did?,Har bott på det 
16,Now we wonder why you assessed Clarion Collection the way you did?,Har inte tillräckligt bra insikt
25,Now we wonder why you assessed Clarion Collection the way you did?,Eftersom det är den kedjan jag alltid bor på! Guld medlem 
26,Now we wonder why you assessed Clarion Collection the way you did?,Har alltid varit till belåtenhet
46,Now we wonder why you assessed Clarion Collection the way you did?,Jag arbetar och bor mest hos dem och de är duktiga på att uppmärksamma sitt ansvar kring miljö och socialt ansvar
51,Now we wonder why you assessed Clarion Collection the way you did?,För att jag bor där oftast eller på en annan kedja som inte är med här. 
88,Now we wonder why you assessed Clarion Collection the way you did?,Prisvärt. Vi har bott när det har varit något erbjudande.
92,Now we wonder why you assessed Clarion Collection the way you did?,För att där finns en helhet av det hela som jag uppskattar mycket  
101,Now we wonder why you assessed Clarion Collection the way you did?,Pga det intryck jag fått efter att ha bott där 
115,Now we wonder why you assessed Clarion Collection the way you did?,Bor ofta där
116,Now we wonder why you assessed Clarion Collection the way you did?,vet ej
121,Now we wonder why you assessed Clarion Collection the way you did?,"Trevligt , snyggt med naturmaterial .          Känns genomtänkt, "
130,Now we wonder why you assessed Clarion Collection the way you did?,Har bott där och uppskattar deras arbete 
132,Now we wonder why you assessed Clarion Collection the way you did?,Duktiga medarbetare 
135,Now we wonder why you assessed Clarion Collection the way you did?,Har varit kund
143,Now we wonder why you assessed Clarion Collection the way you did?,Erfarenhet från att ha bott på deras hotell 
148,Now we wonder why you assessed Clarion Collection the way you did?,Bor helst på dessa hotell
172,Now we wonder why you assessed Clarion Collection the way you did?,Blev fel har ingen uppfattning om socialt ansvar.
182,Now we wonder why you assessed Clarion Collection the way you did?,Jag tycker profilen känns ganska fräsch och trevlig men kopplar inte ihop det med någon särskild hållbarhetsprofil direkt
185,Now we wonder why you assessed Clarion Collection the way you did?,ett av dom hotel jag brukar bo på
186,Now we wonder why you assessed Clarion Collection the way you did?,"Svaret är lika som Best Western. Vet ej med perspnalen men kan ha en åsikt om mat, städ miljö osv"
195,Now we wonder why you assessed Clarion Collection the way you did?,Det är vad jag tycker.
210,Now we wonder why you assessed Clarion Collection the way you did?,Har bott där flertalet gånger
217,Now we wonder why you assessed Clarion Collection the way you did?,-
236,Now we wonder why you assessed Clarion Collection the way you did?,Har alltid haft bra erfarenheter 
238,Now we wonder why you assessed Clarion Collection the way you did?,För att det känns rätt
241,Now we wonder why you assessed Clarion Collection the way you did?,Brukar bo där... 
286,Now we wonder why you assessed Clarion Collection the way you did?,Av det jag sett och läst utiftån verkar de jobba hållbart på fler plan 
287,Now we wonder why you assessed Clarion Collection the way you did?,"Bott mycket hos dem. De kan jag se ifrån gång tlll gång, att de verkligen följer de ovanstående "
290,Now we wonder why you assessed Clarion Collection the way you did?,Det som jag upplevt när jag har varit på deras hotell.
346,Now we wonder why you assessed Clarion Collection the way you did?,De hjälper barn i nepal
350,Now we wonder why you assessed Clarion Collection the way you did?,vet ej
362,Now we wonder why you assessed Clarion Collection the way you did?,Har övernattat flera ggr och sett att de försökt med fairtrade och miljötänk.
363,Now we wonder why you assessed Clarion Collection the way you did?,"Det är det hotell jag vänder mig till när det är aktuellt, det har varit bäst för mig och det är inte alltför dyrt för en liten pension. Mvh Mona"
377,Now we wonder why you assessed Clarion Collection the way you did?,Erfarenheten 
381,Now we wonder why you assessed Clarion Collection the way you did?,Erfarenhet
395,Now we wonder why you assessed Clarion Collection the way you did?,Maten på Clarion √ñstersund 
406,Now we wonder why you assessed Clarion Collection the way you did?,Trivsamt glad personal ordning och reda
429,Now we wonder why you assessed Clarion Collection the way you did?,Av erfarenhet 
440,Now we wonder why you assessed Clarion Collection the way you did?,Just a feeling
446,Now we wonder why you assessed Clarion Collection the way you did?,Upplevelse/erfarenhet
462,Now we wonder why you assessed Clarion Collection the way you did?,Har nyligen bott där 
466,Now we wonder why you assessed Clarion Collection the way you did?,Jag har god erfarenhet av att ibland övernatta på hotell inom Clarion.
473,Now we wonder why you assessed Clarion Collection the way you did?,Bor nästan alltid på Clarion eller Quality hotel o det är inget som utmärker sig i extra hos er när det gäller dessa frågor. Ni håller den profil som man förväntar sig. 
475,Now we wonder why you assessed Clarion Collection the way you did?,Tycker att det har varit bra när jag bott där i tjänst och privat 
483,Now we wonder why you assessed Clarion Collection the way you did?,För att jag har bra koll på företaget. Men dom heter Home Hotel nu.
489,Now we wonder why you assessed Clarion Collection the way you did?,Erfarenhet från övernattningar
491,Now we wonder why you assessed Clarion Collection the way you did?,Känns som en seriös kedja 
495,Now we wonder why you assessed Clarion Collection the way you did?,Jag har uppmärksammat att kedjan jobbar med mer än bara minska tvätt/städningfrekvebs eller installera laddningsstolpar.
505,Now we wonder why you assessed Clarion Collection the way you did?,"Jag vet egentligen inte hur deras miljö- resp. sociala ansvar ser ut. Det enda jag sett är vad jag ser om jag bor där, vilket är sällan. "
514,Now we wonder why you assessed Clarion Collection the way you did?,Jobbar aktivt med det jag står för
516,Now we wonder why you assessed Clarion Collection the way you did?,Har ingen speciell erfarenhet av hotellet 
536,Now we wonder why you assessed Clarion Collection the way you did?,I have read the owners book and in theory the chain is supposed to be socially responsible. I haven't used the product enough to evaluate how it works in practice. 
537,Now we wonder why you assessed Clarion Collection the way you did?,Seriösa 
